go_term,number_of_genes,statistic,p_value
GO:0016055,214,-3.753404870456172,0.00017444875356521775
GO:0043153,23,-3.748717638302235,0.0001777410583875676
GO:0042105,7,-3.7424569642735417,0.00018222974857418062
GO:0006898,77,3.737838381592186,0.00018560919204435518
GO:0050733,8,-3.7359668940401383,0.00018699527084389134
GO:0042593,91,3.73320446883309,0.00018905899445454722
GO:0042582,12,3.7312806738853825,0.0001905088274655599
GO:1901524,18,3.7273014727575022,0.00019354090356088705
GO:0043488,38,-3.727294054337019,0.00019354659837399196
GO:0035613,16,-3.7255542477765027,0.00019488653324588098
GO:0016042,124,3.722138770505768,0.00019754239985824904
GO:0032266,47,3.7138089299255492,0.00020416296372055442
GO:0003223,7,-3.7135290021330034,0.00020438902973583331
GO:0019864,11,3.7133729769598554,0.00020451513565397433
GO:0035325,6,3.709462894268549,0.00020769939284309013
GO:0051673,6,3.6959601805837474,0.0002190573071162115
GO:1901796,38,-3.6905778210873423,0.0002237452228340991
GO:0030182,163,-3.675346775085017,0.0002375265637316239
GO:0051715,6,3.673064274770389,0.00023965917034003735
GO:0000723,60,-3.6672070889113506,0.00024521419603753354
GO:0050892,8,3.6643343103946577,0.0002479827093832815
GO:0071004,17,-3.6565478609803788,0.00025563469938845825
GO:0006914,211,3.6522208761714756,0.00025998211674698384
GO:0120014,10,-3.6452349115028064,0.00026714766396559385
GO:0019377,5,3.635518501140806,0.00027742208165863215
GO:0045202,741,-3.629901968004848,0.0002835288805753996
GO:0005770,186,3.6254782615663648,0.0002884271597885523
GO:0007420,178,-3.624093326873124,0.0002899768915442557
GO:0001851,11,3.6238810495553415,0.0002902151166148451
GO:0008104,119,-3.619722307291328,0.000294919344468884
GO:0009750,6,3.6189229590293985,0.00029583168454410454
GO:0070765,7,3.616146248580564,0.0002990214788685116
GO:0034154,5,3.6150107412086663,0.0003003351691994487
GO:0060412,32,-3.614081883756163,0.00030141379933572467
GO:0005681,184,-3.612230548346119,0.00030357448141449456
GO:0030326,15,-3.6120987629248034,0.00030372883904546507
GO:0042659,12,-3.6089488960014293,0.0003074401602974565
GO:0019770,5,3.6053999617282733,0.0003116725378464641
GO:0030667,101,3.600735355801911,0.00031731843926197876
GO:0019363,11,3.5985631449248854,0.0003199801642401035
GO:0031902,171,3.596137851936469,0.00032297669104314235
GO:0030670,83,3.5929908662805157,0.0003269040510242826
GO:0071751,5,-3.588036248614998,0.00033317797686795885
GO:0001094,10,-3.5861404745498806,0.0003356082204194825
GO:0038024,29,3.572109319755621,0.0003541175237348257
GO:0030492,5,3.570350985258884,0.00035650321779302546
GO:0048699,13,-3.5681872887246873,0.0003594595318685589
GO:0030030,206,-3.566092601034806,0.00036234338370814094
GO:0051920,6,3.56494471954064,0.00036393288605119983
GO:0097242,17,3.56471170651806,0.0003642563404692449
GO:1901797,14,-3.5611291162580794,0.0003692634325647158
GO:0070316,25,-3.552064752819638,0.00038222078715955467
GO:0010273,14,3.549042942689838,0.0003866340225182963
GO:0007596,92,3.548596527849301,0.0003872900167011714
GO:0042987,13,3.545230058818905,0.0003922705494810922
GO:0033120,13,-3.544742550075732,0.0003929967370323398
GO:0006999,8,-3.544315837244167,0.00039363339442966217
GO:0034355,9,3.5398140312706907,0.00040040907842717893
GO:0071565,14,-3.537725501009329,0.00040358939545497366
GO:0051036,11,3.5374966480284,0.00040393931305101883
GO:0045786,52,-3.5368496174801214,0.0004049301606627204
GO:0035577,57,3.5343001243778005,0.0004088565362698622
GO:0043403,13,-3.5334412110294493,0.0004101873041037078
GO:0042744,20,3.53301924569247,0.00041084256223988873
GO:0002376,954,-3.530623219687489,0.0004145818591237246
GO:0004697,16,-3.5256046575633637,0.00042251719293115285
GO:0015693,14,-3.5227779365256384,0.0004270490099876611
GO:0000375,30,-3.5223085423686564,0.00042780592534180856
GO:0006935,157,3.517768681532762,0.0004351915400660521
GO:0045197,19,-3.5156903748566446,0.0004386121748700643
GO:0043922,13,-3.505054906483786,0.00045651312408440147
GO:0099078,8,3.5043473412432387,0.00045772791713914274
GO:0019370,12,3.502923409023199,0.00046018176334014233
GO:0000448,9,-3.493981801750552,0.0004758734554740646
GO:0030041,32,3.488986819198236,0.0004848550563129619
GO:0009635,5,3.4878554840684473,0.00048691117880252826
